goos: windows
goarch: amd64
pkg: github.com/zelr0x/chainyq/deque
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkPushBack/gammazero.Deque_SetBaseCap-12    	316038477	         3.967 ns/op	      13 B/op	       0 allocs/op
BenchmarkPushBack/gammazero.Deque_SetBaseCap-12    	306250808	         3.997 ns/op	      14 B/op	       0 allocs/op
BenchmarkPushBack/gammazero.Deque_SetBaseCap-12    	303311862	         3.989 ns/op	      14 B/op	       0 allocs/op
BenchmarkPushBack/gammazero.Deque_SetBaseCap-12    	305488636	         4.001 ns/op	      14 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.list.List-12             	23628279	        44.82 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushBack/chainyq.list.List-12             	24980431	        46.05 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushBack/chainyq.list.List-12             	24786218	        47.75 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushBack/chainyq.list.List-12             	26241093	        43.44 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushBack/chainyq.list.List-12             	33748438	        41.30 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushBack/chainyq.list.List-12             	27760363	        41.49 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushBack/chainyq.list.List-12             	25653358	        41.49 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushBack/chainyq.list.List-12             	31410570	        39.89 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushBack/chainyq.list.List-12             	27431078	        45.18 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushBack/chainyq.list.List-12             	26677159	        47.41 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushBack/container.list.List-12           	18362350	        65.67 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushBack/container.list.List-12           	15607603	        64.50 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushBack/container.list.List-12           	17111640	        66.69 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushBack/container.list.List-12           	17710033	        70.70 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushBack/container.list.List-12           	15984739	        64.28 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushBack/container.list.List-12           	19218388	        75.18 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushBack/container.list.List-12           	19337208	        75.81 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushBack/container.list.List-12           	16568292	        67.08 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushBack/container.list.List-12           	18278360	        81.33 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushBack/container.list.List-12           	17295228	        67.62 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushFront/chainyq.Deque-12                	348108710	         5.056 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque-12                	304650876	         3.771 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque-12                	344892260	         3.581 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque-12                	334499155	         3.625 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque-12                	355454342	         3.509 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque-12                	335276539	         3.672 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque-12                	348324240	         3.590 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque-12                	354639901	         3.429 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque-12                	351560679	         3.426 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque-12                	343147150	         3.523 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Reserve-12        	343651959	         3.416 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Reserve-12        	332313775	         3.514 ns/op	       8 B/op	       0 allocs/op
